tweet_text,created_at,sentiment,confidence,rating,likes,retweets,replies,quotes
RT @washingtonian: Both the men’s and women’s Maryland basketball teams are in the Sweet 16 of their March Madness tournaments. Here’s what…,2025-03-25 14:04:44,very positive,33.1,5,0,1,0,0
"Both the men’s and women’s Maryland basketball teams are in the Sweet 16 of their March Madness tournaments. Here’s what to know!
https://t.co/7IlNwnQGWP",2025-03-25 14:01:16,very positive,46.95,5,2,1,0,0
"Derik Queen is not new to clutch shooting and will elevate Maryland in March Madness
https://t.co/CbGmpGHQqq",2025-03-25 13:50:48,very negative,37.45,1,0,0,0,0
"RT @KevinBrockwayG1: Florida basketball vs Maryland prediction, pick for 2025 NCAA Tournament Sweet 16 #Gators https://t.co/KAOfmq5rZ0 via…",2025-03-25 13:15:55,positive,26.1,4,0,2,0,0
"@SenKatieBritt @BamaStateMBB @AuburnMBB @TroyTrojansMBB @AlabamaMBB Alabama Women's basketball team played the University of Maryland in March Madness Monday, 20 minutes away from the US Capitol.  You know who didn't show up to support Alabama women athletes?  The answer is BOTH US Senators from Alabama.  Spare me how you support women in sports.",2025-03-25 12:53:46,very negative,48.08,1,0,0,0,0
"@SenKatieBritt @AlabamaWBB Alabama Women's basketball team played the University of Maryland in March Madness Monday, 20 minutes away from the US Capitol.  You know who didn't show up to support Alabama women athletes?  The answer is BOTH US Senators from Alabama.  Spare me how you support women in sports.",2025-03-25 12:50:53,very negative,48.24,1,0,0,0,0
"@SenKatieBritt @MarchMadnessMBB @BamaStateMBB Alabama Women's basketball team played the University of Maryland in March Madness Monday, 20 minutes away from the US Capitol.  You know who didn't show up to support Alabama women athletes?  The answer is BOTH US Senators from Alabama.  Spare me how you support women in sports.",2025-03-25 12:49:01,very negative,50.04,1,0,0,0,0
"@SenKatieBritt @SenToddYoung Alabama Women's basketball team played the University of Maryland in March Madness Monday, 20 minutes away from the US Capitol.  You know who didn't show up to support Alabama women athletes?  The answer is BOTH US Senators from Alabama.  Spare me how you support women in sports.",2025-03-25 12:47:51,very negative,51.69,1,0,0,0,0
"@SenKatieBritt @AlabamaMBB @AuburnMBB Alabama Women's basketball team played the University of Maryland in March Madness Monday, 20 minutes away from the US Capitol.  You know who didn't show up to support Alabama women athletes?  The answer is BOTH US Senators from Alabama.  Spare me how you support women in sports.",2025-03-25 12:44:56,very negative,46.9,1,0,0,0,0
"@SenKatieBritt @coachbrucepearl Alabama Women's basketball team played the University of Maryland in March Madness Monday, 20 minutes away from the US Capitol.  You know who didn't show up to support Alabama women athletes?  The answer is BOTH US Senators from Alabama.  Spare me how you support women in sports.",2025-03-25 12:43:52,very negative,49.91,1,0,0,0,0
"@SenKatieBritt Alabama Women's basketball team played the University of Maryland in March Madness Monday, 20 minutes away from the US Capitol.  You know who didn't show up to support Alabama women athletes?  The answer is BOTH US Senators from Alabama.  Spare me how you support women in sports.",2025-03-25 12:43:02,very negative,51.23,1,0,0,0,0
