tweet_text,created_at,sentiment,confidence,rating,likes,retweets,replies,quotes
"RT @MYROsNFT: day 2 of myros march madness 🏀🦴

GUESS THE WINNER, WIN A @MYROsNFT 

pick the winner between Northwestern and FAU for a chanc…",2025-03-25 02:48:47,very negative,32.85,1,0,83,0,0
"RT @RideOnMCT: The ""What Drives You"" March Madness campaign is in full swing and we've heard some amazing stories from our riders! Our firs…",2025-03-25 02:34:11,very positive,59.98,5,0,2,0,0
"Did you hear about the March Madness winner? 🎉  
Warren Buffett finally gave away his $1 million prize! 💰  
After years of no perfect brackets, someone nailed it this year! 🌟  

#MarchMadness #WarrenBuffett #CashPrize #NCAA #BracketChallenge #MillionDollarChallenge #CrazyWins https://t.co/YWevUFFhjq",2025-03-25 02:32:07,very negative,48.26,1,0,0,0,0
"RT @MrLocksSports: 💵 PACERS ML (3U) 

3 UNIT WINNER FOR VIP. Haven’t been as sharp lately as we’ve had a tough go in March madness along wi…",2025-03-25 02:20:15,positive,38.82,4,0,2,0,0
"RT @InfSportsNet: Full @JRSportBrief Show:

- Travel or no travel on Derik Queen's winner?
- Good riddance Dan Hurley!
- Is Cam Ward ➡️ Tit…",2025-03-25 02:15:47,neutral,23.85,3,0,1,0,0
RT @JohnLegere: Remember that post the other day about Warren Buffett’s March Madness reward? Someone actually got close! 31 out of 32 game…,2025-03-25 02:11:46,very negative,57.1,1,0,1,0,0
"GAME UNDERWAY 🚨

WOMENS MARCH MADNESS ⛹‍♀️

1. USC

Vs

9. Mississippi State 

📺 - ESPN
📍- Los Angeles, CA
🏀 - NCAA Women's Tournament Round Of 32 (Regional 4 Spokane) 

The Winner Will Advance To The Sweet 16 Vs 5 Seed Kansas St https://t.co/mQcINGR6E1",2025-03-25 02:10:12,positive,40.63,4,0,0,0,0
"Full @JRSportBrief Show:

- Travel or no travel on Derik Queen's winner?
- Good riddance Dan Hurley!
- Is Cam Ward ➡️ Titans a 🔒?
- CBB coaching carousel in full swing
@LaTulip_Mike March Madness reaction
@ConnorGoodson on John Calipari renaissance

https://t.co/oUvnyn3blI https://t.co/04FIVcXi7D",2025-03-25 02:09:59,positive,34.34,4,2,1,0,0
"Remember that post the other day about Warren Buffett’s March Madness reward? Someone actually got close! 31 out of 32 games so far!! 
https://t.co/zm4io21T3h",2025-03-25 02:08:32,very negative,41.13,1,12,1,0,0
RT @genedangusp: THE WINNER OF THE FIRST EVER CAVS MARCH MADNESS IS @mitch_muse https://t.co/9AI4Ryrecq,2025-03-25 01:57:34,very positive,24.42,5,0,2,0,0
RT @genedangusp: THE WINNER OF THE FIRST EVER CAVS MARCH MADNESS IS @mitch_muse https://t.co/9AI4Ryrecq,2025-03-25 01:50:07,very positive,24.42,5,0,2,0,0
